"AREA_NAME","value","year"
"Church-Wellesley",109,2020
"Church-Wellesley",98,2021
"Church-Wellesley",86,2022
"Church-Wellesley",102,2023
"St Lawrence-East Bayfront-The Islands",124,2014
"St Lawrence-East Bayfront-The Islands",98,2015
"St Lawrence-East Bayfront-The Islands",128,2016
"St Lawrence-East Bayfront-The Islands",119,2017
"St Lawrence-East Bayfront-The Islands",153,2018
"St Lawrence-East Bayfront-The Islands",146,2019
"St Lawrence-East Bayfront-The Islands",129,2020
"St Lawrence-East Bayfront-The Islands",132,2021
"St Lawrence-East Bayfront-The Islands",124,2022
"St Lawrence-East Bayfront-The Islands",106,2023
"Harbourfront-CityPlace",66,2014
"Harbourfront-CityPlace",73,2015
"Harbourfront-CityPlace",123,2016
"Harbourfront-CityPlace",153,2017
"Harbourfront-CityPlace",129,2018
"Harbourfront-CityPlace",129,2019
"Harbourfront-CityPlace",77,2020
"Harbourfront-CityPlace",93,2021
"Harbourfront-CityPlace",93,2022
"Harbourfront-CityPlace",88,2023
"Wellington Place",109,2014
"Wellington Place",97,2015
"Wellington Place",164,2016
"Wellington Place",168,2017
"Wellington Place",186,2018
"Wellington Place",144,2019
"Wellington Place",117,2020
"Wellington Place",106,2021
"Wellington Place",115,2022
"Wellington Place",80,2023
"Fort York-Liberty Village",40,2014
"Fort York-Liberty Village",71,2015
"Fort York-Liberty Village",60,2016
"Fort York-Liberty Village",76,2017
"Fort York-Liberty Village",102,2018
"Fort York-Liberty Village",120,2019
"Fort York-Liberty Village",66,2020
"Fort York-Liberty Village",54,2021
"Fort York-Liberty Village",32,2022
"Fort York-Liberty Village",43,2023
"West Queen West",51,2014
"West Queen West",45,2015
"West Queen West",63,2016
"West Queen West",67,2017
"West Queen West",66,2018
"West Queen West",88,2019
"West Queen West",82,2020
"West Queen West",38,2021
"West Queen West",28,2022
"West Queen West",42,2023
"Humber Bay Shores",9,2014
"Humber Bay Shores",13,2015
"Humber Bay Shores",31,2016
"Humber Bay Shores",38,2017
"Humber Bay Shores",62,2018
"Humber Bay Shores",74,2019
"Humber Bay Shores",39,2020
"Humber Bay Shores",23,2021
"Humber Bay Shores",23,2022
"Humber Bay Shores",16,2023
"Mimico-Queensway",18,2014
"Mimico-Queensway",19,2015
"Mimico-Queensway",6,2016
"Mimico-Queensway",22,2017
"Mimico-Queensway",40,2018
"Mimico-Queensway",23,2019
"Mimico-Queensway",9,2020
"Mimico-Queensway",18,2021
"Mimico-Queensway",25,2022
"Mimico-Queensway",5,2023
"Etobicoke City Centre",6,2014
"Etobicoke City Centre",12,2015
"Etobicoke City Centre",19,2016
"Etobicoke City Centre",13,2017
"Etobicoke City Centre",11,2018
"Etobicoke City Centre",16,2019
"Etobicoke City Centre",17,2020
"Etobicoke City Centre",23,2021
"Etobicoke City Centre",14,2022
"Etobicoke City Centre",17,2023
"Islington",14,2014
"Islington",12,2015
"Islington",6,2016
"Islington",6,2017
"Islington",4,2018
"Islington",7,2019
"Islington",13,2020
"Islington",8,2021
"Islington",4,2022
"Islington",8,2023
"Bendale South",4,2014
"Bendale South",2,2015
"Bendale South",7,2016
"Bendale South",2,2017
"Bendale South",0,2018
"Bendale South",1,2019
"Bendale South",0,2020
"Bendale South",3,2021
"Bendale South",3,2022
"Bendale South",2,2023
"Caledonia-Fairbank",3,2014
"Caledonia-Fairbank",1,2015
"Caledonia-Fairbank",5,2016
"Caledonia-Fairbank",3,2017
"Caledonia-Fairbank",3,2018
"Caledonia-Fairbank",0,2019
"Caledonia-Fairbank",4,2020
"Caledonia-Fairbank",3,2021
"Caledonia-Fairbank",2,2022
"Caledonia-Fairbank",9,2023
"Briar Hill-Belgravia",20,2014
"Briar Hill-Belgravia",9,2015
"Briar Hill-Belgravia",7,2016
"Briar Hill-Belgravia",7,2017
"Briar Hill-Belgravia",12,2018
"Briar Hill-Belgravia",3,2019
"Briar Hill-Belgravia",13,2020
"Briar Hill-Belgravia",1,2021
"Briar Hill-Belgravia",5,2022
"Briar Hill-Belgravia",5,2023
"Oakwood Village",18,2014
"Oakwood Village",22,2015
"Oakwood Village",17,2016
"Oakwood Village",14,2017
"Oakwood Village",7,2018
"Oakwood Village",12,2019
"Oakwood Village",13,2020
"Oakwood Village",11,2021
"Oakwood Village",12,2022
"Oakwood Village",10,2023
"Humewood-Cedarvale",27,2014
"Humewood-Cedarvale",51,2015
"Humewood-Cedarvale",18,2016
"Humewood-Cedarvale",13,2017
"Humewood-Cedarvale",19,2018
"Humewood-Cedarvale",13,2019
"Humewood-Cedarvale",29,2020
"Humewood-Cedarvale",16,2021
"Humewood-Cedarvale",23,2022
"Humewood-Cedarvale",14,2023
"Lawrence Park North",8,2014
"Lawrence Park North",10,2015
"Lawrence Park North",14,2016
"Lawrence Park North",20,2017
"Lawrence Park North",12,2018
"Lawrence Park North",23,2019
"Lawrence Park North",17,2020
"Lawrence Park North",19,2021
"Lawrence Park North",11,2022
"Lawrence Park North",6,2023
"Lawrence Park South",6,2014
"Lawrence Park South",11,2015
"Lawrence Park South",12,2016
"Lawrence Park South",18,2017
"Lawrence Park South",16,2018
"Lawrence Park South",11,2019
"Lawrence Park South",32,2020
"Lawrence Park South",17,2021
"Lawrence Park South",9,2022
"Lawrence Park South",6,2023
"Forest Hill North",17,2014
"Forest Hill North",41,2015
"Forest Hill North",13,2016
"Forest Hill North",9,2017
"Forest Hill North",7,2018
"Forest Hill North",20,2019
"Forest Hill North",24,2020
"Forest Hill North",5,2021
"Forest Hill North",2,2022
"Forest Hill North",3,2023
"Forest Hill South",9,2014
"Forest Hill South",11,2015
"Forest Hill South",9,2016
"Forest Hill South",8,2017
"Forest Hill South",16,2018
"Forest Hill South",8,2019
"Forest Hill South",23,2020
"Forest Hill South",21,2021
"Forest Hill South",7,2022
"Forest Hill South",11,2023
"Yonge-Eglinton",11,2014
"Yonge-Eglinton",19,2015
"Yonge-Eglinton",22,2016
"Yonge-Eglinton",21,2017
"Yonge-Eglinton",14,2018
"Yonge-Eglinton",16,2019
"Yonge-Eglinton",38,2020
"Yonge-Eglinton",14,2021
"Yonge-Eglinton",14,2022
"Yonge-Eglinton",16,2023
"Mount Pleasant East",8,2014
"Mount Pleasant East",38,2015
"Mount Pleasant East",20,2016
"Mount Pleasant East",11,2017
"Mount Pleasant East",24,2018
"Mount Pleasant East",19,2019
"Mount Pleasant East",36,2020
"Mount Pleasant East",23,2021
"Mount Pleasant East",12,2022
"Mount Pleasant East",13,2023
"Rosedale-Moore Park",48,2014
"Rosedale-Moore Park",67,2015
"Rosedale-Moore Park",50,2016
"Rosedale-Moore Park",53,2017
"Rosedale-Moore Park",66,2018
"Rosedale-Moore Park",69,2019
"Rosedale-Moore Park",73,2020
"Rosedale-Moore Park",52,2021
"Rosedale-Moore Park",72,2022
"Rosedale-Moore Park",45,2023
"Yonge-St.Clair",8,2014
"Yonge-St.Clair",19,2015
"Yonge-St.Clair",14,2016
"Yonge-St.Clair",12,2017
"Yonge-St.Clair",15,2018
"Yonge-St.Clair",24,2019
"Yonge-St.Clair",25,2020
"Yonge-St.Clair",12,2021
"Yonge-St.Clair",19,2022
"Yonge-St.Clair",14,2023
"Casa Loma",18,2014
"Casa Loma",19,2015
"Casa Loma",15,2016
"Casa Loma",11,2017
"Casa Loma",17,2018
"Casa Loma",19,2019
"Casa Loma",24,2020
"Casa Loma",18,2021
"Casa Loma",6,2022
"Casa Loma",9,2023
"Annex",96,2014
"Annex",111,2015
"Annex",125,2016
"Annex",136,2017
"Annex",124,2018
"Annex",143,2019
"Annex",164,2020
"Annex",118,2021
"Annex",77,2022
"Annex",81,2023
"Wychwood",11,2014
"Wychwood",36,2015
"Wychwood",35,2016
"Wychwood",20,2017
"Wychwood",14,2018
"Wychwood",23,2019
"Wychwood",21,2020
"Wychwood",13,2021
"Wychwood",16,2022
"Wychwood",13,2023
"Corso Italia-Davenport",13,2014
"Corso Italia-Davenport",7,2015
"Corso Italia-Davenport",9,2016
"Corso Italia-Davenport",12,2017
"Corso Italia-Davenport",5,2018
"Corso Italia-Davenport",10,2019
"Corso Italia-Davenport",15,2020
"Corso Italia-Davenport",12,2021
"Corso Italia-Davenport",7,2022
"Corso Italia-Davenport",18,2023
"Weston-Pelham Park",16,2014
"Weston-Pelham Park",13,2015
"Weston-Pelham Park",4,2016
"Weston-Pelham Park",6,2017
"Weston-Pelham Park",0,2018
"Weston-Pelham Park",9,2019
"Weston-Pelham Park",6,2020
"Weston-Pelham Park",2,2021
"Weston-Pelham Park",3,2022
"Weston-Pelham Park",7,2023
"Junction Area",25,2014
"Junction Area",20,2015
"Junction Area",26,2016
"Junction Area",23,2017
"Junction Area",26,2018
"Junction Area",22,2019
"Junction Area",21,2020
"Junction Area",15,2021
"Junction Area",10,2022
"Junction Area",16,2023
"Oakridge",14,2014
"Oakridge",15,2015
"Oakridge",4,2016
"Oakridge",11,2017
"Oakridge",12,2018
"Oakridge",10,2019
"Oakridge",6,2020
"Oakridge",8,2021
"Oakridge",7,2022
"Oakridge",3,2023
"Clairlea-Birchmount",26,2014
"Clairlea-Birchmount",21,2015
"Clairlea-Birchmount",8,2016
"Clairlea-Birchmount",17,2017
"Clairlea-Birchmount",10,2018
"Clairlea-Birchmount",6,2019
"Clairlea-Birchmount",5,2020
"Clairlea-Birchmount",12,2021
"Clairlea-Birchmount",7,2022
"Clairlea-Birchmount",8,2023
"Wexford/Maryvale",19,2014
"Wexford/Maryvale",10,2015
"Wexford/Maryvale",8,2016
"Wexford/Maryvale",5,2017
"Wexford/Maryvale",7,2018
"Wexford/Maryvale",6,2019
"Wexford/Maryvale",11,2020
"Wexford/Maryvale",10,2021
"Wexford/Maryvale",10,2022
"Wexford/Maryvale",27,2023
"Tam O'Shanter-Sullivan",2,2014
"Tam O'Shanter-Sullivan",2,2015
"Tam O'Shanter-Sullivan",3,2016
"Tam O'Shanter-Sullivan",5,2017
"Tam O'Shanter-Sullivan",4,2018
"Tam O'Shanter-Sullivan",6,2019
"Tam O'Shanter-Sullivan",13,2020
"Tam O'Shanter-Sullivan",7,2021
"Tam O'Shanter-Sullivan",9,2022
"Tam O'Shanter-Sullivan",16,2023
"Steeles",1,2014
"Steeles",3,2015
"Steeles",1,2016
"Steeles",6,2017
"Steeles",0,2018
"Steeles",0,2019
"Steeles",0,2020
"Steeles",0,2021
"Steeles",1,2022
"Steeles",3,2023
"Mount Dennis",3,2014
"Mount Dennis",1,2015
"Mount Dennis",3,2016
"Mount Dennis",5,2017
"Mount Dennis",2,2018
"Mount Dennis",2,2019
"Mount Dennis",1,2020
"Mount Dennis",6,2021
"Mount Dennis",4,2022
"Mount Dennis",3,2023
"Lambton Baby Point",7,2014
"Lambton Baby Point",10,2015
"Lambton Baby Point",6,2016
"Lambton Baby Point",3,2017
"Lambton Baby Point",6,2018
"Lambton Baby Point",10,2019
"Lambton Baby Point",10,2020
"Lambton Baby Point",6,2021
"Lambton Baby Point",6,2022
"Lambton Baby Point",1,2023
"Weston",7,2014
"Weston",5,2015
"Weston",6,2016
"Weston",11,2017
"Weston",13,2018
"Weston",8,2019
"Weston",10,2020
"Weston",6,2021
"Weston",6,2022
"Weston",11,2023
"Beechborough-Greenbrook",1,2014
"Beechborough-Greenbrook",5,2015
"Beechborough-Greenbrook",1,2016
"Beechborough-Greenbrook",0,2017
"Beechborough-Greenbrook",1,2018
"Beechborough-Greenbrook",1,2019
"Beechborough-Greenbrook",0,2020
"Beechborough-Greenbrook",0,2021
"Beechborough-Greenbrook",0,2022
